1	1	1	1	10	2011	0	0	0	0	76	0	0	0
2	1	1	1	11	2012	100	0	0	0	100	28	0	0
3	2	2	2	11	2009	100	5	0	20	100	32	0	18
4	3	2	3	10	2015	100	30	30	0	100	76	60	0
5	4	2	4	11	2013	60	100	50	0	75	28	0	0
6	5	2	5	9	2015	54	0	0	0	0	0	0	0
7	6	2	6	10	2010	4	25	50	0	100	10	4	0
8	6	2	6	11	2011	50	20	0	0	74	100	0	0
9	7	3	7	10	2009	0	0	0	0	100	0	0	0
10	7	3	7	11	2010	56	50	0	0	100	0	0	0
11	8	4	8	10	2010	100	55	0	0	100	10	28	0
12	8	4	8	11	2011	50	40	0	0	100	50	30	2
13	9	5	9	9	2009	100	20	0	0	100	64	0	0
14	9	5	9	10	2010	60	15	10	0	100	25	0	6
15	9	5	9	11	2011	50	42	0	0	90	55	20	0
16	10	6	10	11	2009	100	10	0	40	100	44	0	0
17	11	7	11	11	2011	50	50	0	0	86	0	0	0
18	12	2	3	10	2012	100	25	100	48	100	100	100	50
19	12	2	3	11	2013	100	100	100	76	100	100	85	36
20	13	4	12	10	2011	0	0	0	0	80	0	0	0
21	13	4	12	11	2012	95	0	0	0	100	0	0	0
22	14	8	13	10	2013	100	0	45	0	100	26	0	0
23	15	9	14	9	2014	85	45	0	0	50	55	42	0
24	15	9	14	10	2015	50	0	30	0	100	71	0	0
25	16	2	3	9	2014	85	5	0	0	0	40	0	0
26	16	2	3	10	2015	0	0	0	0	0	0	0	0
27	17	2	15	11	2010	0	45	0	0	100	0	0	0
28	18	2	3	11	2012	100	70	25	0	100	14	14	25
29	19	1	16	9	2011	0	0	0	0	62	0	0	0
30	20	10	17	11	2013	85	0	0	0	30	0	0	4
31	21	2	18	11	2009	100	10	0	0	20	64	6	0
32	22	2	19	9	2011	100	22	0	0	50	10	30	12
33	22	2	19	10	2012	100	100	100	0	100	0	4	35
34	22	2	19	11	2013	100	100	55	6	75	100	0	20
35	23	11	20	9	2014	75	50	0	0	0	0	0	0
36	24	6	10	11	2013	100	100	80	40	100	100	55	40
37	25	2	21	11	2012	100	100	0	0	0	0	0	0
38	26	2	3	10	2012	100	100	25	0	100	2	0	30
39	26	2	22	11	2013	100	100	0	0	75	0	0	0
40	27	6	23	9	2010	0	0	0	0	0	0	0	0
41	28	12	24	11	2010	0	10	0	0	0	0	0	0
42	29	2	3	11	2009	100	55	96	40	100	100	100	100
